N° FASE de l'établissement,Nom d'établissement,Numéro BCE de l'établissement,Type d'enseignement,Niveau,Genre,Réseau,Adresse de l'établissement,code_postal_de_l_etablissement,Localité de l'établissement,Commune de l'établissement,Bassin,arrondissement_administratif,N° FASE de l'implantation,Adresse de l'implantation,Code postal de l'implantation,Localité de l'implantation,Commune de l'implantation,Latitude,Longitude,N° FASE du PO,Nom du PO,Numéro BCE du PO,Adresse du PO,Code postal du PO,Localité du PO,Commune du PO,pointgeo
10.0,"Ecole primaire P9/10 ""Carrefour""",2167249323,Primaire ordinaire,Fondamental,Ordinaire,Subventionné communal,Rue Eloy 114,1070,ANDERLECHT,Anderlecht,Bruxelles,Bruxelles-Capitale,21.0,Rue Eloy 114,1070,ANDERLECHT,Anderlecht,50.8360049,4.3245095,1136.0,Collège des Bourgmestre et Echevins de la commune d'Anderlecht,206582284,Place du Conseil 1,1070,ANDERLECHT,Anderlecht,"50.8360049, 4.3245095"
1000.0,INSTITUT SAINTE-MARIE,2167150541,Secondaire ordinaire,Secondaire,Ordinaire,Libre confessionnel,Rue Neuve 26,6200,CHATELET,Châtelet,Hainaut Sud,Charleroi,1899.0,Rue Neuve 26,6200,CHATELET,Châtelet,50.4048542,4.5226014,481.0,Association Ecoles Libres Châtelet,417239461,Place d'Arenberg 20,6200,CHATELINEAU,Châtelet,"50.4048542, 4.5226014"
1002.0,INSTITUT SAINT-JOSEPH,2167092539,Secondaire ordinaire,Secondaire,Ordinaire,Libre confessionnel,Place Jean Guyot 1,6200,CHATELET,Châtelet,Hainaut Sud,Charleroi,1903.0,Place Jean Guyot 1,6200,CHATELET,Châtelet,50.4053174,4.5264959,305.0,Comité organisateur Saint-Joseph de Châtelet,409939915,Place Jean Guyot 1,6200,CHATELET,Châtelet,"50.4053174, 4.5264959"
1003.0,EPA - Enseignement pour Adultes Châtelet,2169235744,Enseignement secondaire pour Adultes,Secondaire,Ordinaire,Subventionné communal,Place de l'Hôtel de Ville 6,6200,CHATELET,Châtelet,Hainaut Sud,Charleroi,1907.0,Place de l'Hôtel de Ville 6,6200,CHATELET,Châtelet,50.404347,4.5235242,1261.0,Collège communal de Châtelet,206628707,Rue Gendebien 55,6200,CHATELINEAU,Châtelet,"50.404347, 4.5235242"
1004.0,INSTITUT SAINTE-MARIE,2167150640,Secondaire ordinaire,Secondaire,Ordinaire,Libre confessionnel,Place d'Arenberg 20,6200,CHATELINEAU,Châtelet,Hainaut Sud,Charleroi,8198.0,Rue Lloyd George 10,6200,CHATELINEAU,Châtelet,50.412384,4.519093,481.0,Association Ecoles Libres Châtelet,417239461,Place d'Arenberg 20,6200,CHATELINEAU,Châtelet,"50.412384, 4.519093"
1004.0,INSTITUT SAINTE-MARIE,2167150640,Secondaire CEFA,Secondaire,Ordinaire,Libre confessionnel,Place d'Arenberg 20,6200,CHATELINEAU,Châtelet,Hainaut Sud,Charleroi,1901.0,Place d'Arenberg 20,6200,CHATELINEAU,Châtelet,50.4114884,4.519828,481.0,Association Ecoles Libres Châtelet,417239461,Place d'Arenberg 20,6200,CHATELINEAU,Châtelet,"50.4114884, 4.519828"
1004.0,INSTITUT SAINTE-MARIE,2167150640,Secondaire ordinaire,Secondaire,Ordinaire,Libre confessionnel,Place d'Arenberg 20,6200,CHATELINEAU,Châtelet,Hainaut Sud,Charleroi,1909.0,Place d'Arenberg 20,6200,CHATELINEAU,Châtelet,50.4114884,4.519828,481.0,Association Ecoles Libres Châtelet,417239461,Place d'Arenberg 20,6200,CHATELINEAU,Châtelet,"50.4114884, 4.519828"
1005.0,COLLEGE SAINT PIE X,2167085116,Secondaire CEFA,Secondaire,Ordinaire,Libre confessionnel,Rue Lloyd George 15,6200,CHATELINEAU,Châtelet,Hainaut Sud,Charleroi,1908.0,Rue Lloyd George 15,6200,CHATELINEAU,Châtelet,50.4124797,4.5191413,240.0,Collège Saint Pie X,410507166,Rue Lloyd George 15,6200,CHATELINEAU,Châtelet,"50.4124797, 4.5191413"
1005.0,COLLEGE SAINT PIE X,2167085116,Secondaire ordinaire,Secondaire,Ordinaire,Libre confessionnel,Rue Lloyd George 15,6200,CHATELINEAU,Châtelet,Hainaut Sud,Charleroi,1911.0,Rue Lloyd George 15,6200,CHATELINEAU,Châtelet,50.4124797,4.5191413,240.0,Collège Saint Pie X,410507166,Rue Lloyd George 15,6200,CHATELINEAU,Châtelet,"50.4124797, 4.5191413"
1006.0,Etablissement d'enseignement spécialisé primaire et secondaire de la Communauté française,2167110355,Maternel spécialisé,Fondamental,Spécialisé,WBE,Rue de Loverval 262,6200,CHATELET,Châtelet,Hainaut Sud,Charleroi,1912.0,Grand Place 68,6240,FARCIENNES,Farciennes,50.4266494,4.5527598,478.0,Wallonie-Bruxelles Enseignement,725928796,Boulevard Pachéco 32,1000,BRUXELLES,Bruxelles,"50.4266494, 4.5527598"
1006.0,Etablissement d'enseignement spécialisé primaire et secondaire de la Communauté française,2167110355,Primaire spécialisé,Fondamental,Spécialisé,WBE,Rue de Loverval 262,6200,CHATELET,Châtelet,Hainaut Sud,Charleroi,1912.0,Grand Place 68,6240,FARCIENNES,Farciennes,50.4266494,4.5527598,478.0,Wallonie-Bruxelles Enseignement,725928796,Boulevard Pachéco 32,1000,BRUXELLES,Bruxelles,"50.4266494, 4.5527598"
1006.0,Etablissement d'enseignement spécialisé primaire et secondaire de la Communauté française,2167110355,Secondaire spécialisé,Secondaire,Spécialisé,WBE,Rue de Loverval 262,6200,CHATELET,Châtelet,Hainaut Sud,Charleroi,1914.0,Rue de Loverval 262,6200,CHATELET,Châtelet,50.3985044,4.5102328,478.0,Wallonie-Bruxelles Enseignement,725928796,Boulevard Pachéco 32,1000,BRUXELLES,Bruxelles,"50.3985044, 4.5102328"
1007.0,Ecole primaire d'enseignement spécialisé libre Mont-Chevreuil,2167078285,Maternel spécialisé,Fondamental,Spécialisé,Libre confessionnel,Rue François Dimanche 42,6250,ROSELIES,Aiseau-Presles,Hainaut Sud,Charleroi,1915.0,Rue François Dimanche 42,6250,ROSELIES,Aiseau-Presles,50.4292907,4.5729303,160.0,Ecole Mont-Chevreuil,463576658,Rue François Dimanche 42,6250,ROSELIES,Aiseau-Presles,"50.4292907, 4.5729303"
